nohalftrick-noprefetch-fnb,44.3397,
nohalftrick-noprefetch-fnb,95.1211,
nohalftrick-prefetch-fnb,43.5322,
nohalftrick-prefetch-fnb,93.5479,
halftrick-noprefetch-fnb,57.4447,0.456468,
halftrick-noprefetch-fnb,52.845,
halftrick-prefetch-fnb,48.6709,0.284786,
halftrick-prefetch-fnb,58.0804,
nohalftrick-noprefetch-fnb,pmatfasthist,64.6341,13.0329,25.5682,44.3397,
nohalftrick-noprefetch-fnb,hist,119.077,19.0612,65.6564,95.1211,
nohalftrick-prefetch-fnb,pmatfasthist,64.0769,12.5475,24.7114,43.5322,
nohalftrick-prefetch-fnb,hist,113.429,17.4345,65.8921,93.5479,
halftrick-noprefetch-fnb,pmatfasthist,83.1382,12.9463,38.2115,57.4447,0.456468,
halftrick-noprefetch-fnb,hist,72.1008,18.2644,24.282,52.845,
halftrick-prefetch-fnb,pmatfasthist,69.1599,12.7773,30.1151,48.6709,0.284786,
halftrick-prefetch-fnb,hist,80.0139,19.1851,26.2135,58.0804,
nohalftrick-noprefetch-fnb,pmatfasthist,72.3182,12.9358,27.5184,46.8577,
nohalftrick-noprefetch-fnb,hist,114.923,19.0894,59.7317,90.0696,
nohalftrick-prefetch-fnb,pmatfasthist,59.9466,12.5894,22.2434,39.984,
nohalftrick-prefetch-fnb,hist,112.738,18.6072,63.9184,93.1657,
halftrick-noprefetch-fnb,pmatfasthist,72.0551,12.4687,34.8536,52.3913,0.319775,
halftrick-noprefetch-fnb,hist,82.6343,20.0284,25.9162,56.5455,
halftrick-prefetch-fnb,pmatfasthist,75.937,12.9477,31.9098,51.4162,0.376584,
halftrick-prefetch-fnb,hist,80.519,20.1854,27.2287,59.1924,
