nohalftrick-noprefetch-fnb,pmatfasthist,155.639,14.9791,82.1083,103.039,
nohalftrick-noprefetch-fnb,hist,288.849,21.7555,203.179,232.944,
nohalftrick-prefetch-fnb,pmatfasthist,147.389,15.2608,71.1129,91.9445,
nohalftrick-prefetch-fnb,hist,269.648,13.4872,202.653,223.934,
halftrick-noprefetch-fnb,pmatfasthist,179.581,14.9713,114.473,134.856,1.11445,
halftrick-noprefetch-fnb,hist,152.986,18.3366,78.7093,105.143,
halftrick-prefetch-fnb,pmatfasthist,175.67,15.4438,101.036,122.003,1.05887,
halftrick-prefetch-fnb,hist,158.606,17.8879,82.9224,108.703,


